DDP (V),Incerteza Voltímetro,Corrente (mA),Incerteza Corrente
-0.89,0.02,-8.91,2
-0.79,0.02,-8.01,2
-0.70,0.02,-7.06,2
-0.62,0.02,-6.26,2.000
-0.53,0.02,-5.3,2
-0.45,0.02,-4.48,2
-0.36,0.02,-3.57,2
-0.26,0.02,-2.66,2
-0.18,0.02,-1.75,2
-0.09,0.02,-0.89,2
0.01,0.02,0.10,2
0.09,0.02,0.90,2
0.18,0.02,1.77,2
0.26,0.02,2.63,2
0.35,0.02,3.52,2
0.44,0.02,4.39,2
0.53,0.02,5.31,2
0.62,0.02,6.17,2
0.71,0.02,7.1,2
0.79,0.02,7.96,2
0.89,0.02,8.88,2
DDP (V),Incerteza Voltímetro,Resistência,Incerteza Resistência
-0.89,0.02,99.89,1.96
-0.79,0.02,98.63,2.22
-0.70,0.02,99.15,2.55
-0.62,0.02,99.04,2.92
-0.53,0.02,100.00,3.49
-0.45,0.02,100.45,4.19
-0.36,0.02,100.84,5.33
-0.26,0.02,97.74,7.26
-0.18,0.02,102.86,11.18
-0.09,0.02,101.12,22.28
0.01,0.02,100.00,201.30
0.09,0.02,100.00,22.63
0.18,0.02,101.69,11.66
0.26,0.02,98.86,7.94
0.35,0.02,99.43,6.01
0.44,0.02,100.23,4.88
0.53,0.02,99.81,4.08
0.62,0.02,100.49,3.56
0.71,0.02,100.00,3.13
0.79,0.02,99.25,2.82
0.89,0.02,100.23,2.56
